# Simulated random data file for batch processing
# timestamp: 2018-03-28 18:31:55
# BMV
# ------------------------

"varX","varY"
NA,0.157148943981156
0.473560364916921,0.427688847761601
0.515541375381872,0.29980768612586
0.336799161974341,0.529597380431369
0.00585533306002617,0.299656587652862
0.466685430146754,0.273608308518305
0.763164939824492,0.213993096724153
0.18799754884094,0.682164924219251
0.527050643460825,0.427444264525548
0.336983653716743,0.466124671045691
0.930597536964342,0.222271476406604
0.957410439150408,0.246653756126761
0.362524497555569,0.767155596520752
0.0569729488343,0.0797854785341769
0.438725961372256,0.785134653327987
0.462457972811535,0.749766684370115
0.259331587003544,0.0427104327827692
0.985254627652466,0.561077840393409
0.601063638692722,0.995192734524608
NA,0.912161023588851
0.837870828108862,0.916174224345013
0.350140756228939,0.541981491493061
0.308624158613384,0.469829357694834
0.793886671075597,0.343959235586226
0.960937927477062,0.0445428222883493
NA,NA
0.526638594921678,0.422120419563726
0.215762735111639,0.486690080724657
0.892178286798298,0.82264230796136
0.0347603547852486,0.633527450729162
0.451103258412331,0.545539674349129
0.337374939350411,0.581521133659407
0.607480767881498,NA
0.387636250350624,0.180668890941888
0.635719091165811,0.0172267160378397
0.176954849623144,0.8248642149847
0.694354302482679,0.060905312653631
0.592980557121336,0.511822778964415
0.745862899115309,0.810071967542171
0.931614578934386,0.773367669666186
0.455161189427599,0.795541616156697
0.0843013455159962,0.516939534805715
0.679007179802284,0.133195800939575
0.111170060234144,0.477151490049437
0.294017142150551,0.513549328316003
0.535267719067633,0.942372439196333
0.223265605745837,0.780430870596319
0.797952912515029,0.778774678474292
0.515975706279278,0.888177413493395
0.37282063998282,0.175603443058208
0.226097901817411,0.0576812792569399
0.531848245533183,0.0290369072463363
0.0741486928891391,0.974075163016096
0.396712471731007,0.354730075923726
0.629843484144658,0.472731312736869
NA,0.645964008988813
0.977741626091301,0.733938205521554
0.046520528383553,0.168492521159351
0.41459206212312,0.73695209925063
0.742643021978438,0.94265415193513
0.695396698545665,NA
0.292399165220559,0.438659984152764
0.947447340004146,0.260330820456147
0.58622685354203,0.657407573191449
0.867738391971216,0.522169211646542
0.318289999151602,0.269117001909763
0.514917873078957,0.714400616940111
0.62804684531875,0.820391086861491
0.930223933886737,0.230583347380161
0.618314090184867,0.869460914982483
0.415017708437517,0.692947612842545
0.62889732979238,0.499019370414317
0.968754616566002,0.0849785606842488
0.3285342825111,0.387801780132577
0.436526822391897,0.788553891936317
0.643201157217845,0.988155792467296
0.212180501548573,NA
0.991336464183405,0.904837517300621
0.229384792270139,0.228702939115465
0.46786907594651,0.917237483197823
NA,NA
