# Summary stats for batch processing of regression models
# timestamp: 2018-03-28 18:31:55
# BMV
# ------------------------

"ID","fileName","slope","pVal","r2","OGrow","Cleanrow"
1,"ranFile001.csv",0.168007021105408,0.139004257014164,0.0236384372914818,98,94
2,"ranFile002.csv",0.0841410833410699,0.38480854160527,0.00922425856930998,96,84
3,"ranFile003.csv",-0.179228200226374,0.163004149536582,0.0427864622857447,51,47
4,"ranFile004.csv",0.11641541101267,0.546758086276904,0.0122329896034501,42,32
5,"ranFile005.csv",0.106090669627914,0.418133454211406,0.0106024022501268,72,64
6,"ranFile006.csv",-0.035010950462201,0.907650371983106,0.00127931467262293,18,13
7,"ranFile007.csv",0.16852741508288,0.137932571394284,0.0279979264011123,85,80
8,"ranFile008.csv",-0.146241046202616,0.222554479080893,0.0203118498610308,85,75
9,"ranFile009.csv",-0.107914600923888,0.775507426690122,0.0146173880552854,16,8
10,"ranFile010.csv",-0.0982695582495603,0.625244518535743,0.0073126539643569,39,35
11,"ranFile011.csv",0.0496268076368753,0.855180560581391,0.00316382770259879,15,13
12,"ranFile012.csv",0.0478966991233097,0.876188324600661,0.0012436638295675,26,22
13,"ranFile013.csv",0.141873645611994,0.216813926722798,0.0165317779314849,98,94
14,"ranFile014.csv",0.165909314323158,0.228799583949309,0.0222031917353171,81,67
15,"ranFile015.csv",0.278831282098023,0.2110000320242,0.0484459511053312,43,34
16,"ranFile016.csv",0.296601094232317,0.123566802830645,0.0855777005213597,29,29
17,"ranFile017.csv",0.0255799596480196,0.916207990001928,0.000961190907364498,16,14
18,"ranFile018.csv",1.0180023843063,0.584425371961394,0.172702271469425,15,4
19,"ranFile019.csv",0.111412961402407,0.572656555689559,0.0146893092865444,30,24
20,"ranFile020.csv",-0.0771307270225143,0.50487757906762,0.00572109696753092,87,80
21,"ranFile021.csv",-0.22306025884745,0.155950430616674,0.0731300215599017,33,29
22,"ranFile022.csv",0.0867212170155714,0.788655134820786,0.00681210738482434,17,13
23,"ranFile023.csv",0.109278617638829,0.354371463773765,0.0111493802393977,87,79
24,"ranFile024.csv",0.139920527702145,0.478887368948194,0.0241533887589027,31,23
25,"ranFile025.csv",-0.31257937964276,0.0730527215570659,0.122860172393378,31,27
26,"ranFile026.csv",0.150775284915601,0.29961769467231,0.0210781175304036,59,53
27,"ranFile027.csv",0.226749226972464,0.0397622779650454,0.0493720749082114,88,86
28,"ranFile028.csv",-0.182513513998826,0.385731564730087,0.0445484021529006,27,19
29,"ranFile029.csv",0.29366933761747,0.14889255484361,0.0540383405878169,48,40
30,"ranFile030.csv",0.0700920591246168,0.544712465606039,0.00391604881098837,100,96
31,"ranFile031.csv",0.402168936495986,0.00171541550816823,0.135527562237345,78,70
32,"ranFile032.csv",0.0469967544937388,0.716453718342416,0.00184323054117208,87,74
33,"ranFile033.csv",-0.0121499134281643,0.942478391926777,0.000196412650011938,31,29
34,"ranFile034.csv",-0.0240389610206928,0.827665935536197,0.000671977851998743,75,73
35,"ranFile035.csv",-0.139118782884517,0.686106979616693,0.0104765321871143,28,18
36,"ranFile036.csv",-0.0751251917145886,0.537452806336014,0.00449016882711107,95,87
37,"ranFile037.csv",0.00103210462385023,0.990845310680047,1.63539077558945e-06,85,83
38,"ranFile038.csv",-0.237289601639737,0.19100496970306,0.0528238479684394,38,34
39,"ranFile039.csv",-0.0173216888351883,0.878168299415616,0.000307113858965311,83,79
40,"ranFile040.csv",0.0163718550743588,0.855137926869507,0.000360261020277852,99,95
41,"ranFile041.csv",0.096761326400866,0.713037300251737,0.00769620526881855,29,20
42,"ranFile042.csv",-0.00953124999960008,0.966899633747253,5.83630085733035e-05,32,32
43,"ranFile043.csv",0.034307998456488,0.794958760931296,0.00103052163781003,70,68
44,"ranFile044.csv",0.0337735676951214,0.866157168204541,0.00183002770584615,26,18
45,"ranFile045.csv",0.181243373147059,0.232268267461403,0.0229337005064683,66,64
46,"ranFile046.csv",0.100181715395795,0.561290898674182,0.00946023022918541,48,38
47,"ranFile047.csv",0.0412294330985694,0.750313569845655,0.00179067164768128,62,59
48,"ranFile048.csv",-0.0769424946790132,0.830533018542244,0.00434778801582467,15,13
49,"ranFile049.csv",0.0871485698002652,0.453332420774142,0.00783335594516947,78,74
50,"ranFile050.csv",-0.150894198131265,0.227906660063801,0.018584283228114,84,80
